original_smiles,reaction_type,isostere_smiles,MolWt_original,MolWt_isostere,delta_MolWt,LogP_original,LogP_isostere,delta_LogP,TPSA_original,TPSA_isostere,delta_TPSA,HBD_original,HBD_isostere,delta_HBD,HBA_original,HBA_isostere,delta_HBA,RotBonds_original,RotBonds_isostere,delta_RotBonds,RingCount_original,RingCount_isostere,delta_RingCount,FractionCSP3_original,FractionCSP3_isostere,delta_FractionCSP3,Ro5_violations_original,Ro5_violations_isostere,delta_Ro5_violations
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,Aromatic_H_to_F,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3nc(N)sc3F)[C@H]2SC1,427.4640000000001,445.4540000000001,17.99000000000001,-0.539199999999999,-0.400099999999999,0.1391,156.44,156.44000000000003,2.842170943040401e-14,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,OH_to_NH2,COCC1=C(C(N)=O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,426.4800000000002,-0.9839999999999236,-0.539199999999999,-1.138499999999997,-0.599299999999998,156.44,162.23000000000002,5.7900000000000205,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,NH2_to_OH,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(O)n3)[C@H]2SC1,427.4640000000001,428.4480000000001,0.9839999999999804,-0.539199999999999,-0.41580000000000017,0.12339999999999884,156.44,150.64999999999998,-5.7900000000000205,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,OH_to_SH,COCC1=C(C(=O)S)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,443.5320000000002,16.068000000000097,-0.539199999999999,-0.16739999999999933,0.3717999999999997,156.44,136.21,-20.22999999999999,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,OH_to_F,COCC1=C(C(=O)F)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,429.45500000000015,1.9910000000000423,-0.539199999999999,-0.12769999999999943,0.4114999999999996,156.44,136.21,-20.22999999999999,3.0,2.0,-1.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,COOH_to_CONH2,COCC1=C(C(N)=O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,426.4800000000002,-0.9839999999999236,-0.539199999999999,-1.138499999999997,-0.599299999999998,156.44,162.23000000000002,5.7900000000000205,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,Amide_to_Ester,COCC1=C(C(=O)O)N2C(=O)[C@@H](OC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,428.4480000000001,0.9839999999999804,-0.539199999999999,-0.11219999999999913,0.4269999999999999,156.44,153.64000000000004,-2.7999999999999545,3.0,2.0,-1.0,10.0,11.0,1.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,1.0,1.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,Amide_to_Thioamide,COCC1=C(C(=O)O)N2C(=S)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,443.53200000000015,16.06800000000004,-0.539199999999999,0.26160000000000083,0.8007999999999998,156.44,139.37,-17.069999999999993,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,Amide_to_Thioamide,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=S)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,443.53200000000015,16.06800000000004,-0.539199999999999,0.26160000000000083,0.8007999999999998,156.44,139.37,-17.069999999999993,3.0,3.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,Ketone_to_Alcohol,COCC1=C(C(O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,429.48000000000013,2.0160000000000196,-0.539199999999999,-1.3130999999999975,-0.7738999999999985,156.44,159.60000000000002,3.160000000000025,3.0,4.0,1.0,10.0,11.0,1.0,7.0,7.0,0.0,3.0,3.0,0.0,0.4,0.4666666666666667,0.06666666666666665,0.0,1.0,1.0
