model,feature,importance,feature_type
Random Forest,Morgan_bit_0,0.0005611986063311317,Morgan fingerprint
Random Forest,Morgan_bit_1,0.002829018509630336,Morgan fingerprint
Random Forest,Morgan_bit_2,0.0007896802599468731,Morgan fingerprint
Random Forest,Morgan_bit_3,0.0001233653317930805,Morgan fingerprint
Random Forest,Morgan_bit_4,0.00042230536348687633,Morgan fingerprint
Random Forest,Morgan_bit_5,0.00371991528960486,Morgan fingerprint
Random Forest,Morgan_bit_6,0.00017114698038212905,Morgan fingerprint
Random Forest,Morgan_bit_7,0.0002437318556266075,Morgan fingerprint
Random Forest,Morgan_bit_8,0.0009242765863419687,Morgan fingerprint
Random Forest,Morgan_bit_9,0.000496924912755076,Morgan fingerprint
Random Forest,Morgan_bit_10,3.982806686628526e-05,Morgan fingerprint
Random Forest,Morgan_bit_11,0.00021884902662611946,Morgan fingerprint
Random Forest,Morgan_bit_12,0.00012301673961322284,Morgan fingerprint
Random Forest,Morgan_bit_13,0.0010591997559197157,Morgan fingerprint
Random Forest,Morgan_bit_14,0.000567381850799033,Morgan fingerprint
Random Forest,Morgan_bit_15,0.00021624449220197488,Morgan fingerprint
Random Forest,Morgan_bit_16,0.0004080748885320017,Morgan fingerprint
Random Forest,Morgan_bit_17,0.00015369103183058034,Morgan fingerprint
Random Forest,Morgan_bit_18,0.0002885842774496165,Morgan fingerprint
Random Forest,Morgan_bit_19,0.0006017294574711987,Morgan fingerprint
Random Forest,Morgan_bit_20,0.00011422456304133337,Morgan fingerprint
Random Forest,Morgan_bit_21,7.826232614445602e-05,Morgan fingerprint
Random Forest,Morgan_bit_22,0.0003647838075633296,Morgan fingerprint
Random Forest,Morgan_bit_23,0.0001890701185169983,Morgan fingerprint
Random Forest,Morgan_bit_24,0.00023019807056687613,Morgan fingerprint
Random Forest,Morgan_bit_25,0.00045539565369087876,Morgan fingerprint
Random Forest,Morgan_bit_26,0.00014227742107216686,Morgan fingerprint
Random Forest,Morgan_bit_27,0.0003428481399782233,Morgan fingerprint
Random Forest,Morgan_bit_28,0.0002837579521353393,Morgan fingerprint
Random Forest,Morgan_bit_29,0.0010364768827711688,Morgan fingerprint
Random Forest,Morgan_bit_30,4.646842566354039e-05,Morgan fingerprint
Random Forest,Morgan_bit_31,0.000604190972787363,Morgan fingerprint
Random Forest,Morgan_bit_32,0.00028104414219286,Morgan fingerprint
Random Forest,Morgan_bit_33,0.0005916515607754182,Morgan fingerprint
Random Forest,Morgan_bit_34,0.0010413408552406463,Morgan fingerprint
Random Forest,Morgan_bit_35,0.0004471866190645043,Morgan fingerprint
Random Forest,Morgan_bit_36,9.374719539916089e-05,Morgan fingerprint
Random Forest,Morgan_bit_37,0.00010685453828633975,Morgan fingerprint
Random Forest,Morgan_bit_38,0.0004476105316041983,Morgan fingerprint
Random Forest,Morgan_bit_39,0.00020725940480755724,Morgan fingerprint
Random Forest,Morgan_bit_40,8.153704173726264e-05,Morgan fingerprint
Random Forest,Morgan_bit_41,0.0005162785428586945,Morgan fingerprint
Random Forest,Morgan_bit_42,0.00040939276432424583,Morgan fingerprint
Random Forest,Morgan_bit_43,0.0002991958647381242,Morgan fingerprint
Random Forest,Morgan_bit_44,0.00017585478252809774,Morgan fingerprint
Random Forest,Morgan_bit_45,0.000472157405229627,Morgan fingerprint
Random Forest,Morgan_bit_46,0.00022439815583006264,Morgan fingerprint
Random Forest,Morgan_bit_47,9.088042141065088e-05,Morgan fingerprint
Random Forest,Morgan_bit_48,0.00017251293624396695,Morgan fingerprint
Random Forest,Morgan_bit_49,0.0002387301095482618,Morgan fingerprint
Random Forest,Morgan_bit_50,0.0001387524260353736,Morgan fingerprint
Random Forest,Morgan_bit_51,6.885657091839904e-05,Morgan fingerprint
Random Forest,Morgan_bit_52,0.00021458762012778568,Morgan fingerprint
Random Forest,Morgan_bit_53,0.00030648622933304693,Morgan fingerprint
Random Forest,Morgan_bit_54,0.0005898381217683979,Morgan fingerprint
Random Forest,Morgan_bit_55,0.00016179933954817518,Morgan fingerprint
Random Forest,Morgan_bit_56,0.0002974120555966909,Morgan fingerprint
Random Forest,Morgan_bit_57,0.0011828654263233982,Morgan fingerprint
Random Forest,Morgan_bit_58,0.0004594474763926483,Morgan fingerprint
Random Forest,Morgan_bit_59,0.00019216644516442376,Morgan fingerprint
Random Forest,Morgan_bit_60,0.00023773820679878267,Morgan fingerprint
Random Forest,Morgan_bit_61,0.00020272217342706445,Morgan fingerprint
Random Forest,Morgan_bit_62,0.00026465325730422285,Morgan fingerprint
Random Forest,Morgan_bit_63,0.00018141159735619102,Morgan fingerprint
Random Forest,Morgan_bit_64,0.0001685159727248609,Morgan fingerprint
Random Forest,Morgan_bit_65,0.00010295180041848327,Morgan fingerprint
Random Forest,Morgan_bit_66,0.00010169472758312941,Morgan fingerprint
Random Forest,Morgan_bit_67,0.0005654871909494941,Morgan fingerprint
Random Forest,Morgan_bit_68,0.00033336945048841054,Morgan fingerprint
Random Forest,Morgan_bit_69,0.00047535395323192376,Morgan fingerprint
Random Forest,Morgan_bit_70,0.00034566980370979235,Morgan fingerprint
Random Forest,Morgan_bit_71,0.00014148903696936576,Morgan fingerprint
Random Forest,Morgan_bit_72,0.0002730332696218163,Morgan fingerprint
Random Forest,Morgan_bit_73,5.991617259221528e-05,Morgan fingerprint
Random Forest,Morgan_bit_74,0.0005640306264068799,Morgan fingerprint
Random Forest,Morgan_bit_75,0.000440489489818216,Morgan fingerprint
Random Forest,Morgan_bit_76,0.0001045381213467633,Morgan fingerprint
Random Forest,Morgan_bit_77,0.00022651600299109634,Morgan fingerprint
Random Forest,Morgan_bit_78,0.00015179294875277398,Morgan fingerprint
Random Forest,Morgan_bit_79,0.000768319041414878,Morgan fingerprint
Random Forest,Morgan_bit_80,0.0025946196888548987,Morgan fingerprint
Random Forest,Morgan_bit_81,0.00037873505457157745,Morgan fingerprint
Random Forest,Morgan_bit_82,0.00033426849573059685,Morgan fingerprint
Random Forest,Morgan_bit_83,0.0002714128374201456,Morgan fingerprint
Random Forest,Morgan_bit_84,0.002237594895454308,Morgan fingerprint
Random Forest,Morgan_bit_85,0.00018489935842670832,Morgan fingerprint
Random Forest,Morgan_bit_86,0.00014923795267853817,Morgan fingerprint
Random Forest,Morgan_bit_87,0.00028062091234155374,Morgan fingerprint
Random Forest,Morgan_bit_88,0.00020377663908888806,Morgan fingerprint
Random Forest,Morgan_bit_89,0.00042857798490141533,Morgan fingerprint
Random Forest,Morgan_bit_90,0.0006880169166347314,Morgan fingerprint
Random Forest,Morgan_bit_91,0.0007244411361890208,Morgan fingerprint
Random Forest,Morgan_bit_92,0.00030341985681689915,Morgan fingerprint
Random Forest,Morgan_bit_93,0.0002677339728839071,Morgan fingerprint
